ID,Barbecue,Barbecue,Barbecue,Sour Cream and Onion,Sour Cream and Onion,Sour Cream and Onion,Salt and Vinegar,Salt and Vinegar,Salt and Vinegar,Cheese,Cheese,Cheese,Spicy Jalapeno,Spicy Jalapeno,Spicy Jalapeno,Ranch,Ranch,Ranch,Honey Mustard,Honey Mustard,Honey Mustard,Buffalo Wing,Buffalo Wing,Buffalo Wing,Garlic Parmesan,Garlic Parmesan,Garlic Parmesan,Dill Pickle,Dill Pickle,Dill Pickle,Sweet Chili,Sweet Chili,Sweet Chili,Sriracha,Sriracha,Sriracha,Mesquite BBQ,Mesquite BBQ,Mesquite BBQ,Loaded Baked Potato,Loaded Baked Potato,Loaded Baked Potato,Cool Ranch,Cool Ranch,Cool Ranch
211239262,1,,,1,,,1,,,,,1,,1,,,1,,,1,,,,1,1,,,,1,,1,,,1,,,,,1,,1,,1,,
211239266,,1,,,1,,,1,,,,1,,1,,,,1,,,1,1,,,,1,,1,,,,,1,,,1,,,1,,,1,,1,
211239267,,1,,1,,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,,,,1,1,,,,1,,,,1,,1,
211239268,1,,,,1,,1,,,1,,,,1,,,,1,1,,,1,,,1,,,1,,,,1,,1,,,,1,,1,,,,1,
211239270,1,,,,,1,1,,,1,,,,,1,,1,,,1,,,1,,1,,,,,1,,1,,,,1,,,1,,1,,,1,
211239274,1,,,1,,,,1,,1,,,1,,,,1,,1,,,,,1,,1,,1,,,1,,,,,1,1,,,,1,,,1,
211239275,1,,,,1,,,1,,,1,,1,,,1,,,1,,,,,1,,1,,,1,,1,,,1,,,,1,,,1,,1,,
211239278,,,1,,1,,,1,,1,,,,1,,,,1,,1,,1,,,1,,,1,,,1,,,1,,,,1,,1,,,,,1
211239279,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
211239281,1,,,,,1,,1,,,1,,1,,,,1,,,1,,,1,,,,1,1,,,,1,,,,1,1,,,1,,,,,1
211239282,,1,,,1,,,,1,,1,,1,,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,,,1,,,1,,1,
211239283,1,,,,,1,,1,,,1,,1,,,,,1,1,,,1,,,1,,,,1,,,1,,,1,,1,,,1,,,,1,
211239289,1,,,1,,,,,1,,1,,,,1,1,,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,1,,
211239292,1,,,,1,,,,1,,1,,,1,,,1,,,1,,,,1,,1,,,1,,1,,,,,1,1,,,,,1,,1,
211239293,,,1,,,1,,1,,,,1,,1,,1,,,,,1,,1,,,,1,,1,,,,1,,1,,,1,,,,1,,1,
211239294,,,1,1,,,,1,,,1,,1,,,,1,,,,1,,1,,,,1,,1,,,,1,,1,,,1,,,1,,1,,
211239295,1,,,1,,,,1,,1,,,,1,,,,1,1,,,1,,,1,,,,1,,1,,,,,1,1,,,1,,,,,1
211239301,1,,,1,,,1,,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,,1,,1,,,1,,,1,,,1,,
211239307,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,,1,,,1,,
211239310,1,,,,,1,,,1,1,,,,1,,,1,,1,,,,1,,,1,,,,1,,1,,1,,,,1,,,1,,,,1
211239311,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
211239317,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,1,,,1,
211239326,,1,,1,,,,1,,1,,,,,1,,1,,1,,,,1,,1,,,1,,,1,,,,1,,1,,,,1,,,,1
211239327,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,
211239328,1,,,1,,,1,,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,1,,
211239329,1,,,1,,,,1,,1,,,,1,,,1,,1,,,1,,,1,,,,1,,1,,,,1,,1,,,,1,,,1,
211239333,,1,,,1,,1,,,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,,1,,,1,,,,1,1,,
211239334,1,,,1,,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,,1,
211239335,1,,,1,,,,1,,,1,,,1,,,,1,1,,,1,,,,1,,,,1,1,,,,,1,1,,,1,,,,,1
211239346,1,,,,1,,,1,,,,1,,1,,1,,,,,1,,1,,1,,,,,1,,1,,,,1,1,,,,1,,,1,
211239347,,1,,1,,,1,,,,1,,,1,,,1,,1,,,1,,,1,,,,,1,1,,,,1,,,,1,1,,,1,,
211239373,1,,,,1,,,1,,1,,,,,1,,1,,1,,,,1,,,1,,,1,,,,1,,,1,,1,,1,,,1,,
211239376,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,
211239382,1,,,,1,,1,,,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,1,,
211239389,,1,,,1,,,,1,,1,,1,,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,1,,,1,,,,1,
211239390,,,1,,1,,,,1,,1,,,,1,1,,,,1,,1,,,,1,,,1,,1,,,,1,,,,1,1,,,1,,
211239391,,1,,1,,,1,,,,1,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,1,,,,1,,,,1,1,,
211239402,1,,,1,,,,,1,1,,,1,,,,,1,1,,,,,1,,1,,,1,,1,,,,,1,1,,,,1,,,1,
211239406,,1,,,,1,,,1,1,,,,,1,,1,,,1,,,1,,1,,,,1,,1,,,,,1,1,,,1,,,,1,
211239408,1,,,1,,,,,1,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,,1,1,,,1,,,,1,,,1,
211239414,1,,,,,1,,1,,,1,,,1,,,1,,1,,,,1,,,,1,1,,,1,,,,1,,1,,,1,,,1,,
211239426,,1,,,,1,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,,1
211239428,,,1,,1,,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1
211239432,1,,,1,,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,,1,,1,,,1,,
211239437,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,,1,,1,,,,1,1,,,1,,,,1,,,1,,,,1
211239445,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,,1,,1,,1,,,,,1,,,1,,,1,,1,
211239446,,1,,,,1,1,,,1,,,,1,,,1,,,1,,,,1,,,1,,1,,,1,,,1,,,,1,,,1,1,,
211239459,1,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,1,,,1,,,,,1,,1,,,1,,1,,,1,,
211239462,,,1,,1,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,,1,,1,,,1,,
211243699,1,,,,1,,,1,,1,,,1,,,,,1,1,,,,,1,,1,,,1,,1,,,,,1,1,,,1,,,,,1
211243717,1,,,,1,,,1,,,1,,,1,,1,,,,,1,,1,,,1,,,1,,,,1,1,,,1,,,,1,,1,,
